,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,rating
14,5.0,3399.0,95.4,1.6,91.4,95.0,209.0,65.1,22.1,1376.0,21.0,46159.0,11.7,37506545.0,11555.0,14.4,74.6,11.0,17741170.0,5466.0,"3,000 to 4,999",Independent Town,"$589,761 to < $801,423",$1.1461 to under $1.2543,Met Standard
15,2.0,460.0,96.7,0.0,100.0,100.0,39.0,59.0,34.8,1495.0,22.1,44643.0,14.6,5756014.0,11942.0,18.4,77.1,4.5,3386144.0,7025.0,Under 500,Rural,"$801,423 to < $24,507,828",Under $1.1461,Met Standard
16,3.0,945.0,97.3,0.4,100.0,97.0,53.0,84.9,35.6,1554.0,22.6,44948.0,16.3,9584931.0,10638.0,41.7,54.5,3.8,4560242.0,5061.0,500 to 999,Other Central City Suburban,"$345,053 to < $380,521",$1.3801 and over,Met Standard
17,3.0,439.0,97.2,0.0,95.0,97.5,38.0,52.6,30.0,1455.0,21.3,44314.0,13.9,5120252.0,11180.0,73.0,23.0,4.0,2519109.0,5500.0,Under 500,Rural,"$157,157 to < $191,946",$1.2543 to under $1.3801,Met Standard
18,2.0,353.0,96.6,0.0,96.2,96.7,24.0,62.5,40.0,-1.0,22.7,44210.0,12.4,4507370.0,12626.0,47.9,46.6,5.5,2251523.0,6307.0,Under 500,Rural,"$345,053 to < $380,521",Under $1.1461,Met Standard
19,3.0,496.0,96.7,0.6,95.0,91.7,35.0,54.3,0.0,1211.0,17.1,44759.0,7.3,7118362.0,13876.0,35.9,54.0,10.1,3085163.0,6014.0,Under 500,Rural,"$434,690 to < $497,197",$1.1461 to under $1.2543,Met Standard
20,5.0,1609.0,95.9,2.1,90.4,87.0,114.0,59.6,25.0,1423.0,21.0,51969.0,13.6,16810468.0,10294.0,30.3,63.0,6.8,8476268.0,5191.0,"1,600 to 2,999",Non-metropolitan Fast Growing,"$434,690 to < $497,197",$1.1461 to under $1.2543,Met Standard
21,5.0,1672.0,95.3,0.5,96.4,95.3,135.0,55.6,12.0,1309.0,19.2,48807.0,10.0,18830685.0,10948.0,63.4,22.9,13.8,8173156.0,4752.0,"1,600 to 2,999",Non-metropolitan Stable,"$109,324 to < $157,157",$1.3801 and over,Met Standard
22,6.0,3507.0,95.5,0.6,97.0,97.7,233.0,41.2,13.5,1341.0,19.9,46273.0,10.4,41200624.0,11547.0,19.7,67.9,12.4,17590938.0,4930.0,"3,000 to 4,999",Independent Town,"$434,690 to < $497,197",Under $1.1461,Met Standard
23,4.0,1786.0,94.4,0.6,96.5,89.8,118.0,40.7,4.2,1333.0,18.1,47552.0,10.1,21625745.0,12414.0,64.4,18.8,16.8,9230324.0,5299.0,"1,600 to 2,999",Non-metropolitan Stable,"$109,324 to < $157,157",$1.3801 and over,Met Standard
24,5.0,2208.0,96.4,0.2,98.0,98.0,148.0,60.1,30.3,1499.0,21.1,46520.0,13.8,23112651.0,10705.0,26.4,66.2,7.4,10220918.0,4734.0,"1,600 to 2,999",Independent Town,"$434,690 to < $497,197",$1.2543 to under $1.3801,Met Standard
25,4.0,2839.0,95.9,1.9,95.5,97.8,180.0,42.8,26.0,1436.0,20.8,51128.0,11.5,27848752.0,9971.0,36.3,54.7,9.0,14228855.0,5094.0,"1,600 to 2,999",Other Central City Suburban,"$402,258 to < $434,690",$1.2543 to under $1.3801,Met Standard
26,4.0,795.0,96.3,1.2,93.7,93.1,60.0,43.3,7.7,1300.0,18.4,48311.0,14.2,10026699.0,11994.0,43.1,47.2,9.8,4346179.0,5199.0,500 to 999,Rural,"$380,521 to < $402,258",$1.3801 and over,Met Standard
27,5.0,1467.0,96.0,0.3,95.8,100.0,93.0,71.0,9.1,1443.0,17.6,45168.0,13.3,16861298.0,11849.0,62.3,23.8,14.0,8302470.0,5834.0,"1,000 to 1,599",Non-metropolitan Stable,"$157,157 to < $191,946",$1.2543 to under $1.3801,Met Standard
28,1.0,287.0,96.3,1.1,100.0,100.0,17.0,76.5,23.1,1531.0,19.2,40525.0,12.5,3599098.0,13429.0,21.0,71.1,8.0,1785103.0,6661.0,Under 500,Rural,"$589,761 to < $801,423",Under $1.1461,Met Standard
29,4.0,2202.0,95.0,0.5,97.3,95.9,149.0,66.4,32.3,1506.0,22.0,50529.0,14.4,22325195.0,9826.0,13.5,77.7,8.8,10906304.0,4800.0,"1,600 to 2,999",Major Suburban,"$589,761 to < $801,423",$1.1461 to under $1.2543,Met Standard
30,15.0,10253.0,95.2,1.6,94.2,93.5,578.0,49.8,17.7,1364.0,19.0,49383.0,11.3,105456865.0,10647.0,44.0,44.2,11.8,53679133.0,5419.0,"10,000 to 24,999",Independent Town,"$277,857 to < $305,220",$1.3801 and over,Met Standard
31,6.0,4299.0,95.0,1.2,91.4,92.1,314.0,51.9,15.3,1332.0,18.7,47990.0,8.8,47994142.0,11272.0,57.1,32.2,10.7,21720765.0,5101.0,"3,000 to 4,999",Non-metropolitan Stable,"$191,946 to < $216,001",$1.3801 and over,Met Standard
32,4.0,1781.0,95.8,0.2,97.5,95.9,119.0,53.8,25.0,1412.0,20.8,46797.0,12.5,19758084.0,11239.0,41.4,48.8,9.8,9083226.0,5167.0,"1,600 to 2,999",Non-metropolitan Stable,"$345,053 to < $380,521",$1.3801 and over,Met Standard
33,3.0,594.0,96.2,0.0,97.2,100.0,35.0,85.7,36.7,-1.0,21.8,43451.0,14.5,7043564.0,11878.0,62.6,30.0,7.4,3430007.0,5784.0,500 to 999,Rural,"$257,557 to < $277,857",Under $1.1461,Met Standard
34,6.0,3373.0,93.9,1.2,88.9,91.1,189.0,40.2,14.5,1375.0,18.2,45351.0,9.6,35535517.0,10464.0,53.9,30.6,15.5,16534262.0,4869.0,"3,000 to 4,999",Independent Town,"$191,946 to < $216,001",$1.1461 to under $1.2543,Met Standard
35,2.0,431.0,94.6,1.3,100.0,92.0,34.0,35.3,16.7,1310.0,19.6,45793.0,10.6,7215047.0,16779.0,20.2,72.5,7.4,2301502.0,5352.0,Under 500,Rural,"$589,761 to < $801,423",Under $1.1461,Met Standard
36,3.0,840.0,95.3,1.1,98.3,100.0,59.0,50.8,16.7,1465.0,20.0,46804.0,12.1,9530859.0,11884.0,68.2,25.7,6.1,4220886.0,5263.0,500 to 999,Rural,"$157,157 to < $191,946",$1.3801 and over,Met Standard
37,8.0,2020.0,83.7,20.2,43.7,41.2,478.0,9.4,2.2,1263.0,15.5,45169.0,6.8,15138471.0,9054.0,93.9,0.1,6.0,5644954.0,3376.0,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities,Met Alternative Standard
38,3.0,1381.0,96.2,1.1,96.3,88.7,80.0,72.5,25.9,1468.0,23.3,46388.0,7.9,12458025.0,9431.0,90.4,5.5,4.1,5699490.0,4315.0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities,Met Standard
39,4.0,1410.0,96.1,1.4,95.2,95.2,98.0,51.0,48.0,1550.0,24.3,47417.0,15.7,13639175.0,10021.0,55.1,41.6,3.3,6398790.0,4702.0,"1,000 to 1,599",Non-metropolitan Fast Growing,"$191,946 to < $216,001",$1.3801 and over,Met Standard
40,1.0,369.0,94.7,1.7,96.2,90.2,24.0,62.5,6.7,-1.0,17.4,42288.0,11.2,4742252.0,12006.0,57.4,27.0,15.7,2297174.0,5816.0,Under 500,Rural,"$241,215 to < $257,557",$1.1461 to under $1.2543,Met Standard
41,16.0,10828.0,95.7,0.3,97.1,99.2,704.0,60.5,28.9,1454.0,21.5,50373.0,11.0,105702425.0,10078.0,56.0,36.0,8.0,48488107.0,4623.0,"10,000 to 24,999",Other Central City Suburban,"$191,946 to < $216,001",$1.3801 and over,Met Standard
42,3.0,677.0,96.2,0.0,98.5,100.0,71.0,52.1,16.2,1433.0,20.0,45419.0,14.8,8880947.0,13663.0,56.9,26.1,16.9,3565065.0,5485.0,500 to 999,Rural,"$109,324 to < $157,157",$1.2543 to under $1.3801,Met Standard
43,55.0,43204.0,95.0,1.4,90.8,91.7,1989.0,55.6,18.7,1382.0,19.6,50787.0,9.8,418245787.0,9822.0,55.5,20.2,24.2,214618426.0,5040.0,"25,000 to 49,999",Other Central City,"$109,324 to < $157,157",Under $1.1461,Met Standard
44,4.0,879.0,97.1,0.0,100.0,98.8,69.0,43.5,16.7,1451.0,19.9,45254.0,13.2,9167626.0,10710.0,65.6,28.7,5.7,4150610.0,4849.0,500 to 999,Non-metropolitan Stable,"$157,157 to < $191,946",$1.2543 to under $1.3801,Met Standard
45,5.0,1662.0,96.5,0.0,100.0,99.2,97.0,73.2,26.8,1509.0,23.0,46080.0,13.5,14007402.0,8991.0,30.1,67.5,2.4,6638658.0,4261.0,"1,600 to 2,999",Other Central City Suburban,"$402,258 to < $434,690",$1.2543 to under $1.3801,Met Standard
46,16.0,8599.0,94.8,2.1,85.2,89.9,464.0,40.0,24.9,1430.0,21.7,47746.0,9.7,95427477.0,11085.0,36.9,51.8,11.3,43096795.0,5006.0,"5,000 to 9,999",Other Central City Suburban,"$319,192 to < $340,879",$1.2543 to under $1.3801,Met Standard
47,4.0,1483.0,96.0,0.2,98.9,98.8,94.0,51.1,14.6,1399.0,19.3,44305.0,10.8,14227484.0,9698.0,62.8,32.5,4.7,6490948.0,4425.0,"1,000 to 1,599",Non-metropolitan Stable,"$157,157 to < $191,946",$1.2543 to under $1.3801,Met Standard
48,3.0,322.0,77.8,26.3,33.9,40.4,110.0,13.6,6.7,1324.0,16.7,43224.0,4.0,4618039.0,13119.0,58.0,5.4,36.6,2092953.0,5946.0,Under 500,Charters,Non-taxing entities,Non-taxing entities,Met Alternative Standard
49,2.0,1304.0,94.8,0.0,80.0,89.1,23.0,65.2,6.7,-1.0,14.2,33883.0,1.1,8137179.0,7252.0,82.4,2.8,14.9,3928024.0,3501.0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities,Met Standard
50,5.0,1095.0,95.5,0.0,87.0,92.9,19.0,84.2,6.3,1157.0,13.5,34607.0,4.4,11899431.0,10672.0,80.5,2.2,17.3,5396775.0,4840.0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities,Met Standard
51,5.0,891.0,91.4,1.0,78.1,71.9,90.0,15.6,21.4,1346.0,-1.0,41803.0,6.0,9764082.0,10873.0,73.4,8.8,17.9,4267655.0,4752.0,500 to 999,Charters,Non-taxing entities,Non-taxing entities,Met Alternative Standard
52,1.0,190.0,95.5,1.9,69.6,46.4,16.0,75.0,8.3,-1.0,15.4,41862.0,2.9,2166856.0,9805.0,85.7,1.4,13.0,727593.0,3292.0,Under 500,Charters,Non-taxing entities,Non-taxing entities,Met Alternative Standard
53,4.0,486.0,94.2,2.8,68.4,72.7,16.0,6.3,-1.0,-1.0,-1.0,39631.0,4.5,8151347.0,10883.0,67.3,1.2,31.6,3791247.0,5062.0,Under 500,Charters,Non-taxing entities,Non-taxing entities,Improvement Required
54,2.0,863.0,96.0,0.0,87.2,100.0,35.0,-2.0,35.0,1496.0,25.2,44083.0,3.3,7726329.0,9154.0,89.6,3.2,7.2,3651368.0,4326.0,500 to 999,Charters,Non-taxing entities,Non-taxing entities,Met Standard
55,6.0,3509.0,95.9,0.0,97.6,100.0,80.0,-2.0,25.3,1450.0,17.7,47867.0,3.2,30273535.0,9611.0,84.9,4.3,10.8,14846467.0,4713.0,"3,000 to 4,999",Charters,Non-taxing entities,Non-taxing entities,Met Standard
56,3.0,1785.0,95.5,0.2,96.3,93.8,80.0,78.8,15.9,1383.0,21.2,48956.0,1.4,15634115.0,8803.0,92.2,1.0,6.8,8938338.0,5033.0,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities,Met Standard
57,1.0,126.0,91.2,2.3,86.7,94.5,38.0,65.8,4.0,1245.0,-1.0,45973.0,1.7,2048328.0,12964.0,63.9,30.8,5.3,780346.0,4939.0,Under 500,Charters,Non-taxing entities,Non-taxing entities,Met Standard
58,5.0,4808.0,96.0,0.4,96.0,97.0,369.0,83.5,55.5,1628.0,24.5,57084.0,14.0,53648400.0,11271.0,10.5,84.3,5.2,27703173.0,5820.0,"3,000 to 4,999",Major Suburban,"$801,423 to < $24,507,828",$1.1461 to under $1.2543,Met Standard
59,31.0,15080.0,95.0,1.4,89.1,92.3,914.0,95.1,3.1,1120.0,17.4,54450.0,10.1,170652894.0,11176.0,71.9,12.6,15.5,92237537.0,6040.0,"10,000 to 24,999",Major Suburban,"Under $109,324",$1.3801 and over,Met Standard
60,19.0,11279.0,91.7,2.5,85.6,86.7,562.0,51.8,2.4,1174.0,17.0,53638.0,9.2,135508155.0,11556.0,69.4,11.2,19.4,62483379.0,5329.0,"10,000 to 24,999",Major Suburban,"Under $109,324",$1.2543 to under $1.3801,Met Standard
61,3.0,1357.0,96.9,0.0,100.0,100.0,73.0,89.0,36.9,1538.0,23.0,55789.0,15.5,17998413.0,13920.0,58.8,2.7,38.5,7678419.0,5938.0,"1,000 to 1,599",Non-metropolitan Stable,Non-taxing entities,Non-taxing entities,Met Standard
62,96.0,53035.0,95.0,3.5,82.4,83.5,2613.0,67.8,4.5,1186.0,16.3,54086.0,10.8,624178314.0,11623.0,48.4,29.7,21.9,290514806.0,5410.0,"50,000 and over",Major Urban,"$216,001 to < $241,215",$1.3801 and over,Met Standard
63,17.0,9849.0,95.0,5.1,87.0,90.4,514.0,48.1,8.5,1245.0,18.2,52691.0,10.4,107112444.0,10762.0,61.8,21.1,17.1,49724895.0,4996.0,"5,000 to 9,999",Major Suburban,"$109,324 to < $157,157",$1.3801 and over,Met Standard
64,9.0,3981.0,95.7,0.9,90.0,92.7,224.0,59.4,4.5,1210.0,18.2,48992.0,6.7,43340843.0,11023.0,72.7,14.8,12.5,20675600.0,5258.0,"3,000 to 4,999",Non-metropolitan Stable,"Under $109,324",$1.2543 to under $1.3801,Met Standard
65,75.0,67501.0,95.7,1.7,91.7,93.1,4723.0,71.2,34.6,1499.0,22.3,55126.0,11.1,712887533.0,10521.0,26.7,65.5,7.8,346716376.0,5117.0,"50,000 and over",Major Urban,"$402,258 to < $434,690",$1.3801 and over,Met Standard
66,14.0,10075.0,94.8,1.5,92.4,92.9,687.0,56.5,16.0,1334.0,19.3,55527.0,9.8,96540257.0,9840.0,51.0,38.7,10.3,46757902.0,4766.0,"10,000 to 24,999",Major Suburban,"$241,215 to < $257,557",$1.2543 to under $1.3801,Met Standard
67,17.0,13661.0,94.8,0.9,92.2,93.3,812.0,-2.0,4.3,1128.0,18.3,56172.0,10.0,147112582.0,10914.0,62.7,24.6,12.6,72679840.0,5392.0,"10,000 to 24,999",Major Suburban,"$109,324 to < $157,157",$1.3801 and over,Met Standard
68,2.0,961.0,96.4,0.5,100.0,100.0,38.0,76.3,34.5,1501.0,22.2,59781.0,14.6,16921713.0,19229.0,42.9,1.1,56.0,6733246.0,7651.0,500 to 999,Non-metropolitan Stable,Non-taxing entities,Non-taxing entities,Met Standard
69,2.0,1582.0,96.7,0.0,97.9,98.8,89.0,91.0,28.4,1468.0,21.3,57367.0,12.7,28680659.0,18956.0,40.1,6.8,53.1,11501875.0,7602.0,"1,000 to 1,599",Non-metropolitan Stable,Non-taxing entities,Non-taxing entities,Met Standard
70,115.0,104437.0,95.6,0.7,95.0,95.8,6553.0,62.0,24.4,1434.0,21.1,55499.0,11.6,1057137165.0,10268.0,37.0,53.4,9.7,542639652.0,5271.0,"50,000 and over",Major Urban,"$340,879 to < $345,053",$1.2543 to under $1.3801,Met Standard
71,29.0,23251.0,95.4,2.3,87.2,88.5,1376.0,90.8,11.0,1257.0,19.4,53387.0,9.6,238832393.0,10254.0,46.5,43.3,10.3,115253957.0,4948.0,"10,000 to 24,999",Major Suburban,"$257,557 to < $277,857",$1.3801 and over,Met Standard
72,8.0,5582.0,94.4,2.5,93.0,91.8,274.0,96.4,1.9,1135.0,17.9,54528.0,8.4,65819594.0,12344.0,60.5,27.9,11.6,33317329.0,6249.0,"5,000 to 9,999",Major Suburban,"$109,324 to < $157,157",$1.2543 to under $1.3801,Met Standard
73,3.0,695.0,96.2,0.8,96.0,93.5,49.0,65.3,18.8,1412.0,21.7,51179.0,15.6,8950300.0,13182.0,12.9,81.6,5.5,4594772.0,6767.0,500 to 999,Rural,"$801,423 to < $24,507,828",$1.1461 to under $1.2543,Met Standard
74,3.0,990.0,96.1,0.3,100.0,98.5,69.0,81.2,23.2,1406.0,19.7,53456.0,17.0,12262509.0,12324.0,19.5,73.6,6.9,6640642.0,6674.0,500 to 999,Non-metropolitan Stable,"$589,761 to < $801,423",$1.1461 to under $1.2543,Met Standard
75,3.0,964.0,96.1,0.3,100.0,100.0,78.0,66.7,25.0,1482.0,21.4,42680.0,13.3,10429129.0,10205.0,15.7,74.0,10.4,5395792.0,5280.0,500 to 999,Non-metropolitan Stable,"$589,761 to < $801,423",Under $1.1461,Met Standard
76,2.0,476.0,95.9,0.6,90.6,100.0,31.0,67.7,14.3,1403.0,20.0,45095.0,14.2,7597479.0,15411.0,46.2,41.9,11.9,3903521.0,7918.0,Under 500,Rural,"$277,857 to < $305,220",$1.2543 to under $1.3801,Met Standard
77,3.0,617.0,95.6,0.0,100.0,100.0,40.0,72.5,13.8,1315.0,22.3,42609.0,12.9,7007166.0,11302.0,50.9,41.6,7.5,3079631.0,4967.0,500 to 999,Rural,"$305,220 to < $319,192",$1.2543 to under $1.3801,Met Standard
78,1.0,134.0,97.4,0.0,100.0,100.0,10.0,80.0,12.5,1370.0,19.7,41942.0,11.2,2108778.0,15737.0,30.2,63.4,6.3,851061.0,6351.0,Under 500,Rural,"$589,761 to < $801,423",Under $1.1461,Met Standard
79,1.0,223.0,95.2,0.0,93.8,89.5,15.0,40.0,0.0,1382.0,-1.0,45912.0,14.9,2666371.0,11493.0,46.2,44.2,9.6,1264513.0,5450.0,Under 500,Rural,"$402,258 to < $434,690",Under $1.1461,Met Standard
80,1.0,130.0,94.5,0.0,100.0,85.7,14.0,28.6,-1.0,-1.0,-1.0,40816.0,17.5,1704513.0,13636.0,40.2,50.0,9.8,923325.0,7387.0,Under 500,Rural,"$589,761 to < $801,423",Under $1.1461,Improvement Required
81,3.0,789.0,95.7,1.1,98.3,90.0,62.0,50.0,16.1,-1.0,20.1,46552.0,12.9,8443261.0,10541.0,68.0,27.0,5.0,4564114.0,5698.0,500 to 999,Rural,"$191,946 to < $216,001",$1.1461 to under $1.2543,Met Standard
82,1.0,478.0,95.8,0.0,100.0,96.8,21.0,100.0,14.3,-1.0,20.1,43492.0,9.1,5225369.0,10886.0,75.3,17.5,7.2,2621408.0,5461.0,Under 500,Rural,"$109,324 to < $157,157",$1.1461 to under $1.2543,Met Standard
83,4.0,1356.0,95.4,0.5,93.3,92.6,100.0,70.0,24.3,-1.0,20.0,45464.0,14.0,17295503.0,12624.0,52.7,35.6,11.7,9321102.0,6804.0,"1,000 to 1,599",Non-metropolitan Stable,"$277,857 to < $305,220",$1.3801 and over,Met Standard
84,5.0,1133.0,95.9,0.0,98.6,98.8,71.0,70.4,40.0,-1.0,22.0,45311.0,12.6,11097095.0,9675.0,64.4,28.7,6.9,6219980.0,5423.0,"1,000 to 1,599",Non-metropolitan Stable,"$157,157 to < $191,946",$1.2543 to under $1.3801,Met Standard
85,11.0,7058.0,95.4,2.1,93.3,95.6,436.0,69.0,25.6,1555.0,20.4,44874.0,10.9,72430597.0,10067.0,47.0,38.8,14.2,36418016.0,5062.0,"5,000 to 9,999",Independent Town,"$257,557 to < $277,857",$1.2543 to under $1.3801,Met Standard
86,6.0,2612.0,94.9,2.3,86.5,94.3,157.0,64.3,11.9,-1.0,18.4,45735.0,14.3,27082984.0,10579.0,58.7,27.3,14.0,13877714.0,5421.0,"1,600 to 2,999",Non-metropolitan Stable,"$191,946 to < $216,001",$1.2543 to under $1.3801,Met Standard
87,4.0,2143.0,96.0,0.3,98.7,99.3,152.0,79.6,30.6,-1.0,21.5,46122.0,13.5,20459127.0,9673.0,31.9,64.4,3.7,9833750.0,4650.0,"1,600 to 2,999",Non-metropolitan Stable,"$380,521 to < $402,258",$1.3801 and over,Met Standard
88,25.0,22067.0,96.2,0.7,95.7,96.2,1194.0,50.4,25.1,1413.0,20.8,56663.0,9.1,235960762.0,11368.0,52.7,41.0,6.4,109390971.0,5270.0,"10,000 to 24,999",Major Suburban,"$191,946 to < $216,001",$1.3801 and over,Met Standard
89,11.0,6743.0,96.7,0.0,96.5,98.4,412.0,54.0,16.3,1375.0,20.3,53950.0,10.4,71070817.0,10644.0,39.9,50.7,9.4,31547021.0,4725.0,"5,000 to 9,999",Other Central City Suburban,"$305,220 to < $319,192",$1.3801 and over,Met Standard
90,3.0,772.0,96.1,0.0,100.0,98.5,55.0,67.3,18.9,1392.0,21.4,53052.0,11.9,8218847.0,10497.0,58.1,39.2,2.7,4097468.0,5233.0,500 to 999,Rural,"$257,557 to < $277,857",$1.1461 to under $1.2543,Met Standard
91,20.0,12306.0,94.9,1.5,88.7,89.2,793.0,43.8,33.1,1442.0,22.5,53772.0,11.0,121071713.0,9778.0,16.8,73.5,9.8,60811280.0,4911.0,"10,000 to 24,999",Other Central City,"$525,867 to < $589,761",$1.2543 to under $1.3801,Met Standard
92,3.0,2039.0,96.3,0.0,97.5,96.3,118.0,43.2,25.5,1435.0,21.9,55298.0,13.2,20637735.0,10845.0,9.3,83.5,7.2,9998692.0,5254.0,"1,600 to 2,999",Other Central City Suburban,"$589,761 to < $801,423",$1.1461 to under $1.2543,Met Standard
93,5.0,3057.0,94.6,1.9,87.7,92.4,175.0,40.6,12.7,1326.0,19.7,50317.0,13.2,30875462.0,10038.0,46.8,43.8,9.4,14025334.0,4560.0,"3,000 to 4,999",Other Central City Suburban,"$277,857 to < $305,220",$1.2543 to under $1.3801,Met Standard
94,24.0,21030.0,96.8,0.1,98.3,98.9,1388.0,62.5,40.3,1557.0,22.8,54833.0,10.1,191669447.0,9358.0,47.1,48.1,4.8,90892538.0,4438.0,"10,000 to 24,999",Major Suburban,"$277,857 to < $305,220",$1.3801 and over,Met Standard
95,16.0,12874.0,96.3,0.8,93.7,94.8,791.0,76.7,49.3,1584.0,23.7,49134.0,12.3,129188187.0,10438.0,12.2,81.1,6.7,60327743.0,4874.0,"10,000 to 24,999",Other Central City,"$525,867 to < $589,761",$1.2543 to under $1.3801,Met Standard
96,26.0,16138.0,96.0,4.0,80.0,82.2,864.0,55.9,21.3,1370.0,20.6,46521.0,9.0,160312013.0,10055.0,40.2,53.1,6.7,82530262.0,5177.0,"10,000 to 24,999",Other Central City,"$345,053 to < $380,521",$1.2543 to under $1.3801,Met Standard
97,3.0,1079.0,96.2,1.0,96.9,98.6,59.0,81.4,25.0,1480.0,19.5,45542.0,15.3,14437508.0,14280.0,37.6,43.2,19.3,6514723.0,6444.0,"1,000 to 1,599",Non-metropolitan Stable,"$402,258 to < $434,690",$1.1461 to under $1.2543,Met Standard
98,1.0,54.0,97.6,0.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,41710.0,12.0,1703126.0,41540.0,39.3,57.4,3.4,682551.0,16648.0,Under 500,Rural,"$801,423 to < $24,507,828",$1.1461 to under $1.2543,Met Standard
99,1.0,187.0,97.0,2.0,100.0,90.0,8.0,75.0,16.7,-1.0,21.0,38942.0,12.3,2712717.0,14663.0,31.9,62.4,5.7,1126753.0,6091.0,Under 500,Rural,"$525,867 to < $589,761",Under $1.1461,Met Standard
100,4.0,1536.0,95.1,1.4,84.2,85.4,88.0,61.4,0.0,-1.0,16.9,45694.0,14.4,21651762.0,14170.0,37.3,46.0,16.6,8761780.0,5734.0,"1,000 to 1,599",Other Central City Suburban,"$345,053 to < $380,521",$1.3801 and over,Met Standard
